,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002543.SZ,20210324,8.13,8.14,8.06,8.1,8.12,-0.02,-0.2463,15358.88,12428.045
1,002543.SZ,20210323,8.16,8.17,8.1,8.12,8.15,-0.03,-0.3681,15340.36,12476.548
2,002543.SZ,20210322,8.07,8.15,8.07,8.15,8.05,0.1,1.2422,17320.7,14045.87
3,002543.SZ,20210319,8.08,8.17,8.03,8.05,8.14,-0.09,-1.1057,18896.55,15297.646
4,002543.SZ,20210318,8.12,8.17,8.1,8.14,8.17,-0.03,-0.3672,20493.04,16668.64
5,002543.SZ,20210317,8.14,8.18,8.08,8.17,8.14,0.03,0.3686,20081.81,16325.96
6,002543.SZ,20210316,8.03,8.16,8.03,8.14,8.05,0.09,1.118,21939.03,17763.556
7,002543.SZ,20210315,8.06,8.11,8.02,8.05,8.06,-0.01,-0.1241,19818.35,15978.072
8,002543.SZ,20210312,8.03,8.08,7.99,8.06,8.07,-0.01,-0.1239,15044.13,12096.077
9,002543.SZ,20210311,7.97,8.07,7.96,8.07,7.97,0.1,1.2547,19067.91,15300.752
10,002543.SZ,20210310,8.09,8.11,7.93,7.97,8.06,-0.09,-1.1166,25518.22,20472.843
11,002543.SZ,20210309,8.17,8.24,7.9,8.06,8.18,-0.12,-1.467,33500.58,27117.156
12,002543.SZ,20210308,8.32,8.42,8.15,8.18,8.25,-0.07,-0.8485,35320.38,29296.115
13,002543.SZ,20210305,8.29,8.3,8.19,8.25,8.32,-0.07,-0.8413,25873.17,21352.071
14,002543.SZ,20210304,8.34,8.37,8.28,8.32,8.34,-0.02,-0.2398,22356.61,18601.082
15,002543.SZ,20210303,8.35,8.39,8.3,8.34,8.34,0.0,0.0,27180.26,22650.049
16,002543.SZ,20210302,8.41,8.45,8.3,8.34,8.38,-0.04,-0.4773,35468.86,29641.255
17,002543.SZ,20210301,8.2,8.47,8.13,8.38,8.09,0.29,3.5847,71171.27,59550.392
