,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603339.SH,20210324,9.68,9.78,9.52,9.55,9.64,-0.09,-0.9336,16072.6,15504.988
1,603339.SH,20210323,9.52,9.66,9.47,9.64,9.52,0.12,1.2605,15837.12,15177.922
2,603339.SH,20210322,9.4,9.53,9.35,9.52,9.4,0.12,1.2766,12641.92,11953.032
3,603339.SH,20210319,9.39,9.47,9.33,9.4,9.38,0.02,0.2132,7630.56,7181.538
4,603339.SH,20210318,9.53,9.56,9.3,9.38,9.48,-0.1,-1.0549,10090.6,9466.014
5,603339.SH,20210317,9.42,9.54,9.31,9.48,9.38,0.1,1.0661,10091.44,9554.377
6,603339.SH,20210316,9.31,9.38,9.24,9.38,9.27,0.11,1.1866,7648.4,7139.043
7,603339.SH,20210315,9.27,9.36,9.23,9.27,9.35,-0.08,-0.8556,6779.48,6294.461
8,603339.SH,20210312,9.36,9.39,9.23,9.35,9.38,-0.03,-0.3198,9091.48,8457.767
9,603339.SH,20210311,9.29,9.39,9.17,9.38,9.26,0.12,1.2959,6959.36,6480.655
10,603339.SH,20210310,9.41,9.5,9.21,9.26,9.41,-0.15,-1.594,8814.12,8196.573
11,603339.SH,20210309,9.71,9.77,8.78,9.41,9.69,-0.28,-2.8896,12235.08,11525.593
12,603339.SH,20210308,9.72,9.8,9.63,9.69,9.64,0.05,0.5187,14824.16,14425.997
13,603339.SH,20210305,9.54,9.65,9.53,9.64,9.54,0.1,1.0482,8025.0,7690.245
14,603339.SH,20210304,9.56,9.64,9.51,9.54,9.59,-0.05,-0.5214,9319.96,8930.688
15,603339.SH,20210303,9.53,9.61,9.43,9.59,9.51,0.08,0.8412,10460.8,9971.768
16,603339.SH,20210302,9.6,9.66,9.4,9.51,9.6,-0.09,-0.9375,9180.76,8732.66
17,603339.SH,20210301,9.35,9.61,9.35,9.6,9.38,0.22,2.3454,14823.96,14104.838
18,603339.SH,20210226,9.3,9.45,9.3,9.38,9.46,-0.08,-0.8457,7529.36,7073.952
19,603339.SH,20210225,9.49,9.62,9.26,9.46,9.44,0.02,0.2119,12839.2,12061.331
20,603339.SH,20210224,9.44,9.56,9.29,9.44,9.49,-0.05,-0.5269,15263.16,14350.124
21,603339.SH,20210223,9.66,9.66,9.4,9.49,9.66,-0.17,-1.7598,14555.01,13821.202
22,603339.SH,20210222,9.5,9.78,9.44,9.66,9.4,0.26,2.766,32927.0,31710.642
23,603339.SH,20210219,9.23,9.42,9.18,9.4,9.23,0.17,1.8418,16949.7,15815.303
24,603339.SH,20210218,9.13,9.35,9.13,9.23,9.08,0.15,1.652,11342.46,10470.741
25,603339.SH,20210210,9.0,9.14,8.9,9.08,8.93,0.15,1.6797,7291.4,6592.717
26,603339.SH,20210209,8.75,8.99,8.75,8.93,8.74,0.19,2.1739,7578.8,6747.68
27,603339.SH,20210208,8.76,8.89,8.7,8.74,8.74,0.0,0.0,7556.0,6620.586
28,603339.SH,20210205,8.83,8.98,8.7,8.74,8.83,-0.09,-1.0193,15900.98,14002.794
29,603339.SH,20210204,9.15,9.15,8.76,8.83,9.19,-0.36,-3.9173,22433.36,19999.934
30,603339.SH,20210203,9.37,9.42,9.15,9.19,9.37,-0.18,-1.921,14834.32,13713.529
31,603339.SH,20210202,9.4,9.4,9.26,9.37,9.4,-0.03,-0.3191,7796.4,7268.875
