,day,open,high,low,close,volume
0,2021-02-24 13:50:00,15.800,15.800,15.690,15.700,286500
1,2021-02-24 13:55:00,15.700,15.720,15.690,15.710,206200
2,2021-02-24 14:00:00,15.710,15.750,15.700,15.730,164600
3,2021-02-24 14:05:00,15.720,15.720,15.590,15.630,634700
4,2021-02-24 14:10:00,15.650,15.660,15.550,15.560,669100
5,2021-02-24 14:15:00,15.560,15.650,15.540,15.540,593100
6,2021-02-24 14:20:00,15.550,15.650,15.530,15.640,502400
7,2021-02-24 14:25:00,15.630,15.700,15.620,15.670,470183
8,2021-02-24 14:30:00,15.670,15.680,15.630,15.680,302200
9,2021-02-24 14:35:00,15.680,15.770,15.660,15.760,443800
10,2021-02-24 14:40:00,15.760,15.780,15.730,15.770,426700
11,2021-02-24 14:45:00,15.770,15.790,15.730,15.740,286100
12,2021-02-24 14:50:00,15.750,15.760,15.710,15.720,364600
13,2021-02-24 14:55:00,15.720,15.740,15.700,15.720,511159
14,2021-02-24 15:00:00,15.730,15.750,15.710,15.730,640625
15,2021-02-25 09:35:00,15.850,15.910,15.750,15.850,1279600
16,2021-02-25 09:40:00,15.850,15.950,15.710,15.720,1398900
17,2021-02-25 09:45:00,15.710,15.800,15.650,15.790,883800
18,2021-02-25 09:50:00,15.790,15.800,15.590,15.610,792815
19,2021-02-25 09:55:00,15.610,15.620,15.520,15.550,897300
20,2021-02-25 10:00:00,15.530,15.700,15.530,15.570,531700
21,2021-02-25 10:05:00,15.560,15.690,15.550,15.630,718100
22,2021-02-25 10:10:00,15.620,15.800,15.610,15.770,685500
23,2021-02-25 10:15:00,15.780,15.930,15.750,15.900,1065400
24,2021-02-25 10:20:00,15.900,16.300,15.870,16.280,3577734
25,2021-02-25 10:25:00,16.280,16.280,15.980,16.160,2556118
26,2021-02-25 10:30:00,16.170,16.470,16.150,16.320,4168266
27,2021-02-25 10:35:00,16.320,16.350,16.200,16.200,1529594
28,2021-02-25 10:40:00,16.200,16.270,16.170,16.200,1087989
29,2021-02-25 10:45:00,16.200,16.220,16.100,16.180,850711
30,2021-02-25 10:50:00,16.180,16.220,16.150,16.210,433412
31,2021-02-25 10:55:00,16.210,16.220,16.120,16.140,576055
32,2021-02-25 11:00:00,16.140,16.200,16.130,16.180,405600
33,2021-02-25 11:05:00,16.180,16.200,16.120,16.140,566300
34,2021-02-25 11:10:00,16.140,16.170,16.130,16.170,292900
35,2021-02-25 11:15:00,16.170,16.200,16.150,16.180,235000
36,2021-02-25 11:20:00,16.180,16.190,16.160,16.190,344600
37,2021-02-25 11:25:00,16.180,16.290,16.180,16.270,803300
38,2021-02-25 11:30:00,16.270,16.280,16.190,16.210,355000
39,2021-02-25 13:05:00,16.210,16.900,16.200,16.600,6673389
40,2021-02-25 13:10:00,16.590,16.860,16.520,16.800,2061300
41,2021-02-25 13:15:00,16.790,16.830,16.620,16.640,1681400
42,2021-02-25 13:20:00,16.640,16.750,16.620,16.670,848600
43,2021-02-25 13:25:00,16.670,16.680,16.630,16.650,509100
44,2021-02-25 13:30:00,16.650,16.750,16.640,16.660,866100
45,2021-02-25 13:35:00,16.660,16.680,16.610,16.620,460800
46,2021-02-25 13:40:00,16.620,16.660,16.610,16.640,496340
47,2021-02-25 13:45:00,16.630,16.750,16.630,16.710,857200
48,2021-02-25 13:50:00,16.710,16.720,16.670,16.680,390700
49,2021-02-25 13:55:00,16.680,16.700,16.680,16.680,505700
50,2021-02-25 14:00:00,16.680,16.690,16.640,16.640,356200
51,2021-02-25 14:05:00,16.640,16.640,16.470,16.470,995160
52,2021-02-25 14:10:00,16.470,16.500,16.410,16.490,712500
53,2021-02-25 14:15:00,16.500,16.570,16.480,16.570,719500
54,2021-02-25 14:20:00,16.570,16.670,16.560,16.670,661300
55,2021-02-25 14:25:00,16.660,16.710,16.630,16.680,774344
56,2021-02-25 14:30:00,16.670,16.700,16.580,16.580,347200
57,2021-02-25 14:35:00,16.580,16.680,16.560,16.570,470200
58,2021-02-25 14:40:00,16.580,16.660,16.580,16.630,551300
59,2021-02-25 14:45:00,16.630,16.690,16.610,16.640,786200
60,2021-02-25 14:50:00,16.630,16.640,16.610,16.610,804100
61,2021-02-25 14:55:00,16.610,16.630,16.580,16.620,954697
62,2021-02-25 15:00:00,16.620,16.700,16.600,16.680,1466200
63,2021-02-26 09:35:00,16.280,16.680,16.220,16.360,3402200
64,2021-02-26 09:40:00,16.360,16.380,16.000,16.070,2915669
65,2021-02-26 09:45:00,16.070,16.150,15.800,15.850,2552332
66,2021-02-26 09:50:00,15.900,16.070,15.820,16.030,1171751
67,2021-02-26 09:55:00,16.030,16.050,15.900,16.020,1072500
68,2021-02-26 10:00:00,16.020,16.060,15.970,16.050,917500
69,2021-02-26 10:05:00,16.060,16.170,16.050,16.070,957141
70,2021-02-26 10:10:00,16.070,16.120,16.020,16.090,615600
71,2021-02-26 10:15:00,16.090,16.170,16.060,16.130,716900
72,2021-02-26 10:20:00,16.140,16.140,16.040,16.090,321000
73,2021-02-26 10:25:00,16.090,16.150,16.070,16.130,366000
74,2021-02-26 10:30:00,16.130,16.150,16.080,16.090,458600
75,2021-02-26 10:35:00,16.090,16.160,16.030,16.030,680300
76,2021-02-26 10:40:00,16.030,16.090,16.030,16.050,324900
77,2021-02-26 10:45:00,16.060,16.060,15.980,16.010,839000
78,2021-02-26 10:50:00,16.010,16.030,15.960,15.980,636600
79,2021-02-26 10:55:00,15.990,16.020,15.940,15.950,380200
80,2021-02-26 11:00:00,15.950,16.010,15.930,15.980,308300
81,2021-02-26 11:05:00,15.980,16.020,15.970,16.010,243400
82,2021-02-26 11:10:00,16.010,16.020,15.990,16.010,165400
83,2021-02-26 11:15:00,16.020,16.050,15.940,15.950,457200
84,2021-02-26 11:20:00,15.950,15.970,15.920,15.930,258300
85,2021-02-26 11:25:00,15.950,15.950,15.900,15.920,563941
86,2021-02-26 11:30:00,15.920,15.990,15.920,15.970,135438
87,2021-02-26 13:05:00,15.960,15.960,15.900,15.960,382100
88,2021-02-26 13:10:00,15.960,15.990,15.900,15.900,415800
89,2021-02-26 13:15:00,15.910,15.910,15.850,15.860,656611
90,2021-02-26 13:20:00,15.870,15.880,15.810,15.860,643800
91,2021-02-26 13:25:00,15.870,15.900,15.830,15.900,234500
92,2021-02-26 13:30:00,15.900,15.900,15.850,15.870,180000
93,2021-02-26 13:35:00,15.880,15.900,15.850,15.880,229400
94,2021-02-26 13:40:00,15.870,15.890,15.770,15.770,926700
95,2021-02-26 13:45:00,15.780,15.870,15.760,15.850,298600
96,2021-02-26 13:50:00,15.840,15.870,15.720,15.760,606200
97,2021-02-26 13:55:00,15.750,15.780,15.700,15.740,568600
98,2021-02-26 14:00:00,15.730,15.750,15.700,15.740,590100
99,2021-02-26 14:05:00,15.770,15.900,15.710,15.850,706500
100,2021-02-26 14:10:00,15.850,15.940,15.750,15.910,721760
101,2021-02-26 14:15:00,15.920,15.950,15.850,15.900,340529
102,2021-02-26 14:20:00,15.900,15.930,15.890,15.930,189600
103,2021-02-26 14:25:00,15.930,15.940,15.910,15.930,316200
104,2021-02-26 14:30:00,15.920,15.930,15.870,15.890,330500
105,2021-02-26 14:35:00,15.900,15.920,15.850,15.860,397800
106,2021-02-26 14:40:00,15.860,15.930,15.850,15.920,327425
107,2021-02-26 14:45:00,15.920,15.950,15.910,15.920,516900
108,2021-02-26 14:50:00,15.920,15.930,15.880,15.880,352200
109,2021-02-26 14:55:00,15.890,15.920,15.880,15.900,624850
110,2021-02-26 15:00:00,15.900,15.900,15.880,15.890,740500
111,2021-03-01 09:35:00,15.900,15.980,15.810,15.830,1038000
112,2021-03-01 09:40:00,15.840,16.030,15.830,15.960,1230400
113,2021-03-01 09:45:00,15.950,15.970,15.850,15.890,556231
114,2021-03-01 09:50:00,15.890,16.090,15.860,16.050,1173500
115,2021-03-01 09:55:00,16.050,16.070,15.980,16.030,385300
116,2021-03-01 10:00:00,16.030,16.070,15.960,16.050,405500
117,2021-03-01 10:05:00,16.060,16.180,16.050,16.150,940088
118,2021-03-01 10:10:00,16.160,16.280,16.140,16.270,1362828
119,2021-03-01 10:15:00,16.280,16.360,16.200,16.200,1145615
120,2021-03-01 10:20:00,16.200,16.240,16.110,16.150,752900
121,2021-03-01 10:25:00,16.150,16.190,16.120,16.170,323601
122,2021-03-01 10:30:00,16.180,16.200,16.090,16.100,512500
123,2021-03-01 10:35:00,16.100,16.180,16.090,16.140,298200
124,2021-03-01 10:40:00,16.140,16.150,16.110,16.130,244200
125,2021-03-01 10:45:00,16.140,16.190,16.120,16.130,299400
126,2021-03-01 10:50:00,16.130,16.160,16.100,16.110,197200
127,2021-03-01 10:55:00,16.110,16.170,16.110,16.160,301600
128,2021-03-01 11:00:00,16.150,16.200,16.140,16.150,303700
129,2021-03-01 11:05:00,16.160,16.180,16.110,16.120,287500
130,2021-03-01 11:10:00,16.120,16.120,16.030,16.040,363900
131,2021-03-01 11:15:00,16.050,16.090,16.020,16.030,332900
132,2021-03-01 11:20:00,16.030,16.110,16.030,16.080,262500
133,2021-03-01 11:25:00,16.070,16.190,16.070,16.120,295100
134,2021-03-01 11:30:00,16.120,16.130,16.090,16.110,161300
135,2021-03-01 13:05:00,16.120,16.170,16.100,16.160,283100
136,2021-03-01 13:10:00,16.160,16.160,16.100,16.120,121200
137,2021-03-01 13:15:00,16.110,16.130,16.080,16.080,268700
138,2021-03-01 13:20:00,16.090,16.160,16.080,16.160,168100
139,2021-03-01 13:25:00,16.140,16.160,16.090,16.100,193100
140,2021-03-01 13:30:00,16.100,16.150,16.090,16.120,171100
141,2021-03-01 13:35:00,16.140,16.290,16.120,16.280,460797
142,2021-03-01 13:40:00,16.280,16.300,16.180,16.230,352000
143,2021-03-01 13:45:00,16.230,16.470,16.220,16.370,1584932
144,2021-03-01 13:50:00,16.360,16.400,16.310,16.370,799056
145,2021-03-01 13:55:00,16.370,16.450,16.320,16.320,812406
146,2021-03-01 14:00:00,16.330,16.450,16.290,16.430,856457
147,2021-03-01 14:05:00,16.440,16.450,16.310,16.310,365700
148,2021-03-01 14:10:00,16.320,16.400,16.310,16.350,450600
149,2021-03-01 14:15:00,16.350,16.460,16.350,16.430,820700
150,2021-03-01 14:20:00,16.430,16.430,16.360,16.360,331000
151,2021-03-01 14:25:00,16.360,16.420,16.350,16.380,374100
152,2021-03-01 14:30:00,16.380,16.450,16.300,16.310,744460
153,2021-03-01 14:35:00,16.330,16.440,16.330,16.400,389115
154,2021-03-01 14:40:00,16.400,16.430,16.350,16.400,699000
155,2021-03-01 14:45:00,16.390,16.430,16.360,16.420,555237
156,2021-03-01 14:50:00,16.420,16.450,16.380,16.390,852960
